timestamp,open,high,low,close,volume
2024-10-22 18:40:00+00:00,152.68,152.86,152.67,152.86,6.8
2024-10-22 18:45:00+00:00,152.86,153.05,152.76,152.78,100.7
2024-10-22 18:50:00+00:00,152.78,152.78,152.55,152.58,39.5
2024-10-22 18:55:00+00:00,152.58,152.61,152.3,152.39,23.2
2024-10-22 19:00:00+00:00,152.39,152.44,152.17,152.27,11.4
2024-10-22 19:05:00+00:00,152.27,152.59,152.27,152.47,7.0
2024-10-22 19:10:00+00:00,152.47,152.91,152.47,152.84,8.9
2024-10-22 19:15:00+00:00,152.84,153.1,152.83,152.98,17.7
2024-10-22 19:20:00+00:00,152.98,153.12,152.85,152.99,1167.1
2024-10-22 19:25:00+00:00,152.99,153.06,152.86,152.88,388.7
2024-10-22 19:30:00+00:00,152.88,152.92,152.84,152.89,17.5
2024-10-22 19:35:00+00:00,152.89,152.89,152.66,152.66,42.5
2024-10-22 19:40:00+00:00,152.66,152.84,152.51,152.84,44.7
2024-10-22 19:45:00+00:00,152.84,153.04,152.8,152.8,75.0
2024-10-22 19:50:00+00:00,152.8,152.86,152.73,152.83,56.1
2024-10-22 19:55:00+00:00,152.83,152.92,152.65,152.72,33.1
2024-10-22 20:00:00+00:00,152.72,153.01,152.61,152.95,48.8
2024-10-22 20:05:00+00:00,152.95,152.97,152.83,152.97,56.4
2024-10-22 20:10:00+00:00,152.97,153.07,152.86,152.93,44.7
2024-10-22 20:15:00+00:00,152.93,153.09,152.87,152.93,8.1
2024-10-22 20:20:00+00:00,152.93,153.06,152.8,152.92,13.3
2024-10-22 20:25:00+00:00,152.92,153.03,152.84,152.96,13.1
2024-10-22 20:30:00+00:00,152.96,153.14,152.9,153.13,15.9
2024-10-22 20:35:00+00:00,153.13,153.21,153.08,153.11,32.3
2024-10-22 20:40:00+00:00,153.11,153.26,153.11,153.14,8.6
2024-10-22 20:45:00+00:00,153.14,153.2,153.09,153.09,30.8
2024-10-22 20:50:00+00:00,153.09,153.2,153.09,153.1,14.4
2024-10-22 20:55:00+00:00,153.1,153.18,153.09,153.15,8.5
2024-10-22 21:00:00+00:00,153.15,153.15,152.96,152.96,94.5
2024-10-22 21:05:00+00:00,152.96,153.07,152.78,152.78,74.5
2024-10-22 21:10:00+00:00,152.78,153.05,152.78,153.05,39.9
2024-10-22 21:15:00+00:00,153.05,153.08,152.79,152.83,53.2
2024-10-22 21:20:00+00:00,152.83,152.93,152.83,152.91,9.1
2024-10-22 21:25:00+00:00,152.91,152.91,152.77,152.84,20.8
2024-10-22 21:30:00+00:00,152.84,152.91,152.6,152.71,7.8
2024-10-22 21:35:00+00:00,152.71,152.91,152.71,152.85,16.8
2024-10-22 21:40:00+00:00,152.85,152.91,152.78,152.78,11.1
2024-10-22 21:45:00+00:00,152.78,152.87,152.74,152.74,9.0
2024-10-22 21:50:00+00:00,152.74,152.77,152.67,152.69,10.5
2024-10-22 21:55:00+00:00,152.69,153.06,152.69,152.81,19.1
2024-10-22 22:00:00+00:00,152.81,153.04,152.66,153.02,7.5
2024-10-22 22:05:00+00:00,153.02,153.28,153.02,153.21,67.5
2024-10-22 22:10:00+00:00,153.21,153.29,153.05,153.05,23.7
2024-10-22 22:15:00+00:00,153.05,153.27,153.0,153.1,58.1
2024-10-22 22:20:00+00:00,153.1,153.28,153.09,153.26,67.7
2024-10-22 22:25:00+00:00,153.26,153.31,153.24,153.27,30.0
2024-10-22 22:30:00+00:00,153.27,153.42,153.24,153.33,144.5
2024-10-22 22:35:00+00:00,153.33,153.45,153.32,153.45,17.6
2024-10-22 22:40:00+00:00,153.45,153.57,153.45,153.54,213.4
2024-10-22 22:45:00+00:00,153.54,153.59,153.37,153.57,12.7
2024-10-22 22:50:00+00:00,153.57,153.57,153.29,153.29,26.1
2024-10-22 22:55:00+00:00,153.29,153.47,153.25,153.25,29.3
2024-10-22 23:00:00+00:00,153.25,153.5,153.23,153.39,21.3
2024-10-22 23:05:00+00:00,153.39,153.46,153.01,153.21,413.9
2024-10-22 23:10:00+00:00,153.21,153.21,153.02,153.02,10.9
2024-10-22 23:15:00+00:00,153.02,153.12,152.86,152.92,226.5
2024-10-22 23:20:00+00:00,152.92,152.99,152.8,152.95,80.3
2024-10-22 23:25:00+00:00,152.95,152.95,152.86,152.89,96.2
2024-10-22 23:30:00+00:00,152.89,152.96,152.88,152.92,79.5
2024-10-22 23:35:00+00:00,152.92,152.94,152.71,152.8,8.7
2024-10-22 23:40:00+00:00,152.8,152.88,152.69,152.87,58.6
2024-10-22 23:45:00+00:00,152.87,152.87,152.21,152.23,134.6
2024-10-22 23:50:00+00:00,152.23,152.6,152.23,152.6,8.6
2024-10-22 23:55:00+00:00,152.6,152.67,152.42,152.63,7.5
2024-10-23 00:00:00+00:00,152.63,153.0,152.63,152.87,52.7
2024-10-23 00:05:00+00:00,152.87,152.89,152.68,152.84,44.9
2024-10-23 00:10:00+00:00,152.84,152.84,152.29,152.34,8.5
2024-10-23 00:15:00+00:00,152.34,152.56,152.1,152.41,37.9
2024-10-23 00:20:00+00:00,152.41,152.56,152.15,152.27,38.0
2024-10-23 00:25:00+00:00,152.27,152.4,152.26,152.32,41.0
2024-10-23 00:30:00+00:00,152.32,152.37,152.19,152.35,9.9
2024-10-23 00:35:00+00:00,152.35,152.35,152.14,152.19,11.6
2024-10-23 00:40:00+00:00,152.19,152.21,152.03,152.08,19.7
2024-10-23 00:45:00+00:00,152.08,152.19,152.01,152.18,11.3
2024-10-23 00:50:00+00:00,152.18,152.23,151.92,152.0,157.5
2024-10-23 00:55:00+00:00,152.0,152.11,151.96,152.04,17.3
2024-10-23 01:00:00+00:00,152.04,152.27,151.98,152.22,248.4
2024-10-23 01:05:00+00:00,152.22,152.41,152.19,152.27,51.2
2024-10-23 01:10:00+00:00,152.27,152.32,152.03,152.08,16.3
2024-10-23 01:15:00+00:00,152.08,152.22,151.82,152.22,59.0
2024-10-23 01:20:00+00:00,152.22,152.49,152.19,152.39,19.3
2024-10-23 01:25:00+00:00,152.39,152.39,152.11,152.11,12.0
2024-10-23 01:30:00+00:00,152.11,152.26,151.88,152.24,20.4
2024-10-23 01:35:00+00:00,152.24,152.34,152.18,152.25,13.2
2024-10-23 01:40:00+00:00,152.25,152.35,152.19,152.31,24.7
2024-10-23 01:45:00+00:00,152.31,152.41,152.21,152.21,10.7
2024-10-23 01:50:00+00:00,152.21,152.25,152.01,152.09,14.0
2024-10-23 01:55:00+00:00,152.09,152.36,152.09,152.18,71.9
2024-10-23 02:00:00+00:00,152.18,152.19,151.94,152.06,20.0
2024-10-23 02:05:00+00:00,152.06,152.12,151.78,152.06,101.5
2024-10-23 02:10:00+00:00,152.06,152.1,151.86,152.02,28.9
2024-10-23 02:15:00+00:00,152.02,152.24,151.92,151.98,24.8
2024-10-23 02:20:00+00:00,151.98,151.98,151.71,151.79,10.9
2024-10-23 02:25:00+00:00,151.79,151.79,151.35,151.53,57.7
2024-10-23 02:30:00+00:00,151.53,151.67,151.41,151.64,18.5
2024-10-23 02:35:00+00:00,151.64,151.64,151.25,151.3,18.0
2024-10-23 02:40:00+00:00,151.3,151.49,151.25,151.47,86.3
2024-10-23 02:45:00+00:00,151.47,151.66,151.28,151.56,19.8
2024-10-23 02:50:00+00:00,151.56,151.56,151.29,151.34,18.8
2024-10-23 02:55:00+00:00,151.34,151.4,151.22,151.22,45.2
2024-10-23 03:00:00+00:00,151.22,151.51,151.12,151.51,16.7
2024-10-23 03:05:00+00:00,151.51,151.75,151.5,151.68,24.7
2024-10-23 03:10:00+00:00,151.68,151.69,151.31,151.33,26.4
2024-10-23 03:15:00+00:00,151.33,151.46,151.01,151.03,51.2
2024-10-23 03:20:00+00:00,151.03,151.07,150.82,150.82,139.5
2024-10-23 03:25:00+00:00,150.82,150.82,150.43,150.71,241.7
2024-10-23 03:30:00+00:00,150.71,150.71,150.39,150.58,87.3
2024-10-23 03:35:00+00:00,150.58,150.89,150.57,150.81,66.8
2024-10-23 03:40:00+00:00,150.81,151.13,150.8,151.13,13.5
2024-10-23 03:45:00+00:00,151.13,151.36,150.97,151.3,21.2
2024-10-23 03:50:00+00:00,151.3,151.69,151.3,151.58,15.2
2024-10-23 03:55:00+00:00,151.58,151.59,151.37,151.5,11.5
2024-10-23 04:00:00+00:00,151.5,151.65,151.38,151.5,23.9
2024-10-23 04:05:00+00:00,151.5,151.5,151.28,151.33,16.8
2024-10-23 04:10:00+00:00,151.33,151.44,151.28,151.44,11.8
2024-10-23 04:15:00+00:00,151.44,151.55,151.27,151.31,40.9
2024-10-23 04:20:00+00:00,151.31,151.42,151.15,151.21,14.3
2024-10-23 04:25:00+00:00,151.21,151.32,151.0,151.27,17.5
2024-10-23 04:30:00+00:00,151.27,151.27,151.05,151.22,17.8
2024-10-23 04:35:00+00:00,151.22,151.67,151.14,151.61,96.2
2024-10-23 04:40:00+00:00,151.61,151.61,151.42,151.44,220.8
2024-10-23 04:45:00+00:00,151.44,151.63,151.25,151.63,13.4
2024-10-23 04:50:00+00:00,151.63,151.63,151.34,151.5,10.2
2024-10-23 04:55:00+00:00,151.5,151.6,151.4,151.43,18.3
2024-10-23 05:00:00+00:00,151.43,151.49,151.1,151.24,66.5
2024-10-23 05:05:00+00:00,151.24,151.42,151.08,151.23,22.8
2024-10-23 05:10:00+00:00,151.23,151.42,151.2,151.36,15.8
2024-10-23 05:15:00+00:00,151.36,151.57,151.27,151.45,28.6
2024-10-23 05:20:00+00:00,151.45,151.45,150.98,151.07,15.0
2024-10-23 05:25:00+00:00,151.07,151.27,150.8,150.8,18.5
2024-10-23 05:30:00+00:00,150.8,151.04,150.76,151.02,39.2
2024-10-23 05:35:00+00:00,151.02,151.02,150.55,150.94,23.6
2024-10-23 05:40:00+00:00,150.94,150.96,150.67,150.77,40.0
2024-10-23 05:45:00+00:00,150.77,150.86,150.66,150.86,57.2
2024-10-23 05:50:00+00:00,150.86,150.86,150.42,150.81,24.4
2024-10-23 05:55:00+00:00,150.81,150.81,150.61,150.62,36.0
2024-10-23 06:00:00+00:00,150.62,150.7,150.46,150.6,23.3
2024-10-23 06:05:00+00:00,150.6,150.76,150.52,150.76,7.9
2024-10-23 06:10:00+00:00,150.76,150.87,150.66,150.86,30.9
2024-10-23 06:15:00+00:00,150.86,151.42,150.83,151.37,166.3
2024-10-23 06:20:00+00:00,151.37,151.43,151.24,151.27,9.7
2024-10-23 06:25:00+00:00,151.27,151.49,151.25,151.38,12.4
2024-10-23 06:30:00+00:00,151.38,151.46,151.28,151.34,10.1
2024-10-23 06:35:00+00:00,151.34,151.45,151.25,151.31,5.4
2024-10-23 06:40:00+00:00,151.31,151.31,151.12,151.21,30.9
2024-10-23 06:45:00+00:00,151.21,151.21,150.98,151.05,10.5
2024-10-23 06:50:00+00:00,151.05,151.12,150.45,150.48,62.8
2024-10-23 06:55:00+00:00,150.48,150.61,150.41,150.44,88.1
2024-10-23 07:00:00+00:00,150.44,150.59,150.23,150.59,146.6
2024-10-23 07:05:00+00:00,150.59,150.88,150.59,150.79,82.5
2024-10-23 07:10:00+00:00,150.79,150.79,150.31,150.41,26.3
2024-10-23 07:15:00+00:00,150.41,150.65,150.23,150.4,28.4
2024-10-23 07:20:00+00:00,150.4,150.63,150.4,150.54,59.5
2024-10-23 07:25:00+00:00,150.54,150.6,150.42,150.5,78.5
2024-10-23 07:30:00+00:00,150.5,150.54,150.18,150.45,108.5
